ctr,country,pdi,idv,mas,uai,ltowvs,ivr,Country_Code
SWF,Switzerland French,70,64,58,70,NA,NA,NA
SWG,Switzerland German,26,69,72,56,NA,NA,NA
TAI,Taiwan,58,17,45,69,92.94710327,49.10714286,TWN
TAN,Tanzania,NA,NA,NA,NA,34.00503778,38.39285714,TZA
THA,Thailand,64,20,34,64,31.73803526,45.08928571,THA
TRI,Trinidad and Tobago,47,16,58,55,12.59445844,80.13392857,TTO
TUR,Turkey,66,37,45,85,45.59193955,49.10714286,TUR
USA,U.S.A.,40,91,62,46,25.69269521,68.08035714,USA
UGA,Uganda,NA,NA,NA,NA,23.67758186,52.45535714,UGA
UKR,Ukraine,NA,NA,NA,NA,86.39798489,14.28571429,UKR
URU,Uruguay,61,36,38,100,26.19647355,53.34821429,URY
VEN,Venezuela,81,12,73,76,15.61712846,100,VEN
VIE,Vietnam,70,20,40,30,57.17884131,35.49107143,VNM
ZAM,Zambia,NA,NA,NA,NA,30.22670025,42.1875,ZMB
ZIM,Zimbabwe,NA,NA,NA,NA,15.36523929,27.67857143,ZWE
