,DZA,AZE,ARG,AUS,BHR,ARM,BRA,BLR,CHL,CHN,TWN,COL,CYP,ECU,EST,GEO,PSE,DEU,GHA,HKG,IND,IRQ,JPN,KAZ,JOR,KOR,KWT,KGZ,LBN,LBY,MYS,MEX,MAR,NLD,NZL,NGA,PAK,PER,PHL,POL,QAT,ROU,RUS,RWA,SGP,SVN,ZAF,ZWE,ESP,SWE,THA,TTO,TUN,TUR,UKR,EGY,USA,URY,UZB,YEM
MEX,0.96,0.294,1.102,0.982,0.57,0.401,2.23,0.458,1.95,0.589,1.047,3.369,1.146,2.386,0.396,0.664,0.529,0.844,0.479,0.536,0.169,0.372,1.207,0.356,0.417,0.368,1.285,0.315,0.717,0.568,0.541,4.458,0.907,1.923,1.705,0.363,0.339,2.906,0.644,2.674,0.715,1.03,0.537,0.66,0.701,1.476,0.745,0.706,2.241,0.954,0.405,2.696,1.098,0.416,0.504,0.646,1.798,2.242,0.266,0.61
MAR,1.191,0.532,0.239,0.114,0.293,1.321,0.357,0.354,0.29,0.323,0.406,0.383,0.332,0.399,0.145,1.576,0.69,0.128,0.93,0.136,0.061,0.807,0.446,0.216,0.938,0.26,1.235,0.229,0.53,0.461,0.62,0.234,25.781,0.253,0.339,0.625,0.614,0.499,0.24,0.631,1.407,0.789,0.261,0.511,0.279,0.218,0.34,0.95,0.274,0.062,0.153,0.865,2.21,0.848,0.356,1.595,0.299,0.24,0.592,1.056
NLD,0.185,0.192,0.302,7.404,0.485,0.259,0.469,0.77,1.281,1.655,2.152,0.385,0.585,0.207,1.443,0.19,0.164,6.941,0.058,1.792,0.162,0.144,3.936,0.32,0.081,0.903,0.398,0.149,0.407,0.085,0.153,0.479,0.183,29.939,8.973,0.082,0.06,0.517,0.105,2.414,0.142,0.605,0.65,0.22,1.123,3.576,0.338,0.12,5.158,13.186,0.261,0.53,0.231,0.187,0.47,0.175,4.498,1.99,0.12,0.151
NZL,0.245,0.2,0.653,9.516,0.305,0.212,0.629,0.865,1.217,1.546,1.717,0.511,0.592,0.228,1.807,0.311,0.181,4.352,0.103,1.701,0.055,0.133,3.039,0.307,0.101,0.891,0.457,0.167,0.236,0.097,0.197,0.509,0.298,10.269,15.956,0.122,0.079,0.482,0.159,1.854,0.317,0.508,0.588,0.258,1.437,2.631,0.269,0.171,4.367,8.618,0.318,0.822,0.249,0.247,0.402,0.114,5.975,1.516,0.294,0.126
NGA,0.578,0.181,0.16,0.113,0.513,0.347,0.215,0.243,0.201,0.151,0.177,0.222,0.247,0.319,0.062,0.654,0.446,0.086,1.729,0.117,0.079,0.538,0.262,0.198,0.417,0.188,1.006,0.399,0.347,0.366,0.663,0.18,1.136,0.169,0.229,4.635,0.509,0.249,0.502,0.343,0.826,0.268,0.191,0.855,0.525,0.108,0.433,1.248,0.148,0.05,0.138,0.548,0.815,0.53,0.206,0.947,0.273,0.069,0.236,0.502
PAK,1.069,0.263,0.54,0.261,1.073,0.946,0.487,0.302,0.4,0.305,0.41,0.707,0.405,0.643,0.101,1.104,0.779,0.228,0.903,0.198,0.114,0.962,0.597,0.213,0.836,0.312,2.211,0.398,0.574,0.629,0.848,0.359,2.849,0.443,0.455,1.541,17.497,0.607,0.593,1.117,1.243,0.797,0.294,1.102,0.628,0.284,0.587,0.873,0.336,0.148,0.267,0.88,1.439,1.067,0.306,0.582,0.512,0.231,0.285,0.999
PER,0.787,0.243,0.605,0.531,0.498,0.566,1.436,0.526,1.429,0.612,0.983,2.689,0.999,1.365,0.272,0.722,0.607,0.539,0.483,0.487,0.163,0.613,1.018,0.288,0.384,0.438,1.067,0.373,0.746,0.514,0.381,1.662,1.08,1.193,1.069,0.392,0.346,6.22,0.501,2.427,0.571,1.084,0.465,0.691,0.57,1.123,0.562,0.769,1.254,0.328,0.214,2.298,1.093,0.384,0.582,0.652,1.034,1.516,0.176,1.031
PHL,1.063,0.816,0.35,0.308,0.705,0.542,0.689,0.545,0.588,0.903,1.15,0.573,0.449,0.782,0.235,0.719,0.888,0.361,0.637,0.452,0.245,0.693,0.815,0.574,0.809,0.63,3.004,0.831,0.553,0.642,2.258,0.633,2.492,0.505,0.559,0.825,0.584,0.652,7.814,0.963,1.957,0.647,0.62,0.383,1.372,0.324,1.392,0.54,0.474,0.118,0.469,1.06,0.923,0.731,0.491,1.731,0.702,0.321,0.992,0.839
POL,0.567,0.179,0.491,1.039,0.649,0.613,1.176,0.815,1.216,0.761,1.574,1.301,0.957,0.727,0.477,0.736,0.44,1.666,0.327,0.892,0.116,0.286,2.249,0.326,0.322,0.697,1.083,0.205,0.545,0.232,0.385,1.037,0.987,3.265,2.184,0.253,0.306,1.529,0.405,9.386,0.396,1.189,0.565,0.448,0.816,2.397,0.533,0.524,2.192,1.427,0.172,1.832,0.535,0.327,0.63,0.481,1.97,1.147,0.131,0.5
QAT,0.643,0.431,0.036,0.126,0.192,0.287,0.156,0.169,0.092,0.19,0.222,0.338,0.165,0.216,0.043,0.529,0.654,0.087,0.928,0.101,0.032,0.901,0.165,0.156,1.158,0.145,2.834,0.282,0.303,0.83,1.282,0.149,1.609,0.169,0.256,0.425,0.224,0.159,0.41,0.306,10.806,0.232,0.071,0.276,0.268,0.052,0.203,0.354,0.095,0.041,0.091,0.485,0.658,0.575,0.072,0.714,0.215,0.111,0.795,0.801
ROU,0.477,0.577,0.392,0.517,0.44,1.191,0.719,0.686,0.568,0.731,1.016,0.539,0.662,0.5,0.301,1.685,0.48,0.55,0.448,0.367,0.059,0.375,1.217,0.29,0.42,0.509,0.841,0.382,0.533,0.324,0.647,0.486,2.013,1.032,0.83,0.371,0.375,0.778,0.284,1.555,0.482,3.602,0.501,0.378,0.52,1.006,0.419,0.532,1.191,0.432,0.203,0.986,1.198,0.51,0.574,0.923,1.021,0.52,0.313,0.567
RUS,0.633,1.466,0.383,0.753,0.558,1.197,0.477,3.899,0.914,3.456,2.071,0.248,0.675,0.309,2.578,1.052,0.479,0.852,0.206,1.286,0.136,0.556,2.047,2.44,0.274,1.832,0.625,1.075,0.58,0.222,0.722,0.304,0.943,1.581,1.079,0.268,0.212,0.538,0.345,1.033,0.251,0.765,7.258,0.513,1.471,1.114,0.505,0.331,1.617,0.373,0.474,0.432,0.752,0.81,3.436,0.674,0.96,0.537,0.777,0.491
RWA,0.42,0.251,0.406,0.242,1.084,0.473,0.299,0.515,0.303,0.344,0.281,0.383,0.302,0.352,0.124,0.842,0.4,0.249,1.479,0.186,0.058,0.49,1.137,0.521,0.24,0.338,0.899,0.645,0.604,0.204,0.498,0.273,1.164,0.389,0.397,0.87,0.427,0.375,0.198,0.631,0.864,0.34,0.228,30.678,0.742,0.267,0.305,2.244,0.414,0.127,0.235,0.637,0.882,0.938,0.276,0.303,0.395,0.155,0.563,0.267
SGP,0.535,0.84,0.494,1.307,1.484,0.371,0.604,1.397,1.029,2.713,2.505,0.396,0.788,0.465,1.354,0.615,0.488,1.442,0.351,2.062,0.257,0.312,3.38,1.106,0.366,1.912,1.298,0.924,0.558,0.265,2.002,0.373,0.626,2.14,2.272,0.533,0.266,0.422,0.864,1.062,0.73,0.484,1.178,0.934,6.699,0.819,0.939,0.446,1.315,1.091,0.858,0.681,0.437,0.787,0.738,0.702,1.723,0.634,0.91,0.271
SVN,0.225,0.286,1.85,3.064,0.307,0.475,0.789,0.87,1.794,1.201,1.843,0.705,0.996,0.434,3.191,0.627,0.204,2.395,0.162,1.137,0.258,0.19,4.151,0.495,0.123,1.047,0.439,0.315,0.439,0.114,0.278,0.703,0.476,5.972,4.045,0.099,0.092,1.012,0.145,2.976,0.11,1.016,0.868,0.362,0.771,17.556,0.333,0.271,4.25,3.223,0.377,1.077,0.4,0.274,0.985,0.37,2.084,2.226,0.145,0.212
ZAF,1.912,0.676,1.371,0.986,3.47,0.639,1.534,1.46,1.427,1.724,1.673,0.926,1.023,1.419,0.663,0.843,1.179,1.194,0.938,1.449,1.39,0.844,2.139,1.107,0.639,1.394,2.905,1.198,1.783,0.789,2.224,1.199,1.854,1.964,1.557,1.492,0.896,1.389,2.868,1.908,1.452,1.182,1.362,1.364,3.405,1.166,8.893,1.561,1.68,0.766,1.066,1.883,1.364,1.058,1.094,1.348,2.488,0.832,0.794,0.611
ZWE,0.836,0.151,0.361,0.179,0.587,0.527,0.5,0.465,0.392,0.238,0.275,0.635,0.38,0.598,0.138,1.444,0.474,0.191,3.975,0.181,0.075,0.417,0.568,0.268,0.347,0.215,0.933,0.345,0.48,0.313,0.648,0.411,2.042,0.397,0.56,1.754,0.392,0.676,0.267,0.947,0.959,0.573,0.214,2.311,0.577,0.301,0.555,8.85,0.457,0.112,0.231,2.124,1.448,0.496,0.378,0.696,0.567,0.254,0.378,0.505
ESP,0.231,0.167,0.996,3.658,0.402,0.258,0.954,0.852,2.26,1.411,1.563,0.596,0.931,0.442,1.14,0.368,0.178,2.701,0.124,1.045,0.094,0.098,2.607,0.425,0.126,0.701,0.498,0.159,0.385,0.106,0.188,0.693,0.294,7.119,4.807,0.092,0.079,0.724,0.125,2.036,0.178,0.712,0.778,0.378,1.006,3.268,0.404,0.248,16.468,5.287,0.322,0.92,0.37,0.235,0.612,0.286,3.138,3.137,0.17,0.164
SWE,0.192,0.116,0.591,9.418,0.402,0.137,0.664,0.488,1.754,1.483,2.416,0.402,0.651,0.183,1.28,0.172,0.112,10.479,0.033,1.886,0.055,0.084,5.208,0.184,0.038,0.905,0.407,0.105,0.263,0.081,0.118,0.552,0.107,22.528,13.319,0.05,0.041,0.384,0.072,2.336,0.105,0.412,0.406,0.18,1.131,3.768,0.21,0.081,6.332,56.986,0.363,0.354,0.137,0.171,0.257,0.091,6.131,2.875,0.131,0.071
THA,1.177,1.783,0.891,0.89,1.393,0.636,0.672,1.298,1.087,2.026,1.678,0.546,0.704,0.926,1.43,0.728,0.686,0.801,0.573,1.147,0.32,0.519,3.936,0.979,0.491,1.91,2.337,0.691,0.706,0.624,2.683,0.62,0.694,1.366,1.577,0.478,0.413,0.583,0.613,0.823,0.827,0.681,0.832,0.956,2.233,0.869,0.825,0.523,1.592,0.834,11.931,0.879,0.754,1.109,0.696,1.524,1.085,0.673,0.962,0.375
TTO,0.503,0.159,0.452,0.526,0.204,0.311,1.284,0.315,0.579,0.206,0.37,1.594,0.759,1.032,0.175,0.992,0.423,0.239,1.159,0.207,0.03,0.284,0.362,0.141,0.443,0.161,1.39,0.16,0.431,0.405,0.475,0.949,1.178,0.688,1.142,0.536,0.27,1.299,0.354,1.588,0.869,0.78,0.181,0.516,0.422,0.577,0.536,1.432,0.932,0.182,0.175,9.807,1.067,0.362,0.235,0.464,1.105,0.637,0.241,0.472
TUN,1.173,1.009,0.254,0.169,0.242,1.07,0.464,0.481,0.326,0.434,0.437,0.403,0.377,0.497,0.195,1.901,1.352,0.159,0.751,0.171,0.043,1.564,0.638,0.377,1.864,0.281,1.812,0.495,0.949,1.351,0.728,0.318,3.922,0.343,0.294,0.728,0.465,0.537,0.263,0.575,0.979,0.898,0.416,0.421,0.294,0.265,0.368,0.775,0.406,0.08,0.187,1.09,18.347,0.704,0.466,3.857,0.353,0.312,0.397,2.027
TUR,0.785,1.254,0.259,0.435,0.554,1.044,0.276,0.721,0.435,0.868,0.712,0.337,0.521,0.285,0.282,1.218,0.877,0.414,0.513,0.373,0.051,0.941,1.508,0.61,0.701,0.723,1.425,0.877,0.562,0.666,0.876,0.251,1.727,0.599,0.712,0.608,0.58,0.327,0.261,0.564,1.109,0.657,0.531,0.944,0.747,0.384,0.317,0.428,0.524,0.395,0.372,0.524,1.058,5.575,0.411,0.463,0.573,0.238,0.921,0.645
UKR,0.418,0.922,0.361,0.431,0.379,1.073,0.497,3.041,0.746,1.866,1.8,0.279,0.567,0.338,1.851,1.224,0.392,0.599,0.303,0.739,0.135,0.467,1.738,1.577,0.207,1.076,0.397,0.865,0.477,0.151,0.494,0.309,1.079,1.086,0.757,0.29,0.168,0.613,0.307,1.04,0.184,0.807,2.87,0.436,0.879,1.162,0.46,0.454,1.265,0.263,0.293,0.499,0.805,0.536,4.912,0.793,0.751,0.448,0.576,0.507
EGY,1.044,0.836,0.139,0.101,0.443,1.047,0.196,0.423,0.315,0.679,0.658,0.254,0.337,0.338,0.167,1.891,1.683,0.18,0.699,0.217,0.127,2.178,0.5,0.357,2.584,0.312,2.411,0.481,0.649,1.133,1.737,0.166,4.185,0.349,0.194,0.777,0.513,0.451,0.649,0.555,1.537,0.531,0.356,0.373,0.405,0.358,0.41,0.516,0.276,0.05,0.346,0.584,3.615,0.756,0.497,17.637,0.267,0.256,0.28,4.093
USA,0.473,0.168,0.612,4.957,0.767,0.341,1.066,1.12,0.992,1.002,1.426,0.813,0.974,0.428,0.807,0.689,0.345,2.664,0.274,1.26,0.281,0.226,2.225,0.301,0.181,0.739,0.755,0.215,0.548,0.222,0.316,0.828,0.482,6.491,7.602,0.265,0.16,0.786,0.321,2.549,0.446,1.008,0.603,0.418,1.458,1.858,0.756,0.481,3.229,4.849,0.3,1.797,0.543,0.357,0.461,0.255,10.017,1.16,0.198,0.267
URY,0.358,0.278,1.149,2.117,0.755,0.281,1.544,0.476,3.315,1.3,1.894,2.171,1.413,1.184,0.982,0.388,0.251,2.265,0.188,0.939,0.127,0.177,3.138,0.47,0.301,0.506,0.787,0.223,0.527,0.248,0.313,1.667,0.54,5.481,3.632,0.158,0.152,2.194,0.234,2.293,0.347,0.786,0.651,0.436,1.059,3.703,0.455,0.334,6.136,3.815,0.314,1.474,0.611,0.288,0.604,0.727,2.286,12.163,0.218,0.332
UZB,0.626,4.064,0.042,0.195,0.183,0.803,0.116,0.9,0.235,2.544,0.782,0.115,0.211,0.156,0.376,0.74,0.462,0.187,0.815,0.347,0.026,0.456,0.864,1.458,0.388,0.543,1.072,1.057,0.274,0.277,1.152,0.114,1.455,0.25,0.434,0.246,0.103,0.103,0.396,0.126,2.63,0.271,0.585,0.515,0.574,0.119,0.173,0.395,0.27,0.109,0.307,0.279,0.671,0.893,0.431,0.467,0.194,0.146,38.242,0.223
YEM,0.779,0.325,0.172,0.188,0.19,0.741,0.196,0.251,0.388,0.256,0.298,0.403,0.304,0.208,0.09,1.005,1.423,0.154,0.341,0.139,0.102,2.078,0.498,0.212,1.802,0.158,1.767,0.418,0.47,1.325,0.589,0.194,1.451,0.321,0.219,0.416,0.465,0.609,0.255,0.658,1.265,0.406,0.297,0.311,0.214,0.414,0.191,0.294,0.276,0.096,0.097,0.461,1.694,0.488,0.382,2.256,0.251,0.293,0.139,18.74
