"ctr","country","pdi","idv","mas","uai","ltowvs","ivr","Country_Code"
"ROM","Romania",90,30,42,90,51.8891687657431,19.8660714285714,"ROU"
"RUS","Russia",93,39,36,95,81.360201511335,19.8660714285714,NA
"RWA","Rwanda",NA,NA,NA,NA,18.3879093198992,37.2767857142857,"RWA"
"SAU","Saudi Arabia",NA,NA,NA,NA,35.5163727959698,52.2321428571429,"SAU"
"SER","Serbia",86,25,43,92,52.1410579345088,28.125,"SRB"
"SIN","Singapore",74,20,48,8,71.536523929471,45.5357142857143,"SGP"
"SLK","Slovak Rep",104,52,110,51,76.5743073047859,28.3482142857143,NA
"SLV","Slovenia",71,27,19,88,48.6146095717884,47.5446428571429,"SVN"
"SAF","South Africa",NA,NA,NA,NA,34,63,"ZAF"
"SAW","South Africa white",49,65,63,49,NA,NA,NA
"SPA","Spain",57,51,42,86,47.6070528967254,43.5267857142857,"ESP"
"SUR","Suriname",85,47,37,92,NA,NA,"SUR"
"SWE","Sweden",31,71,5,29,52.896725440806,77.6785714285714,"SWE"
"SWI","Switzerland",34,68,70,58,73.551637279597,66.0714285714286,"CHE"
"SWF","Switzerland French",70,64,58,70,NA,NA,NA
"SWG","Switzerland German",26,69,72,56,NA,NA,NA
"TAI","Taiwan",58,17,45,69,92.9471032745592,49.1071428571429,NA
"TAN","Tanzania",NA,NA,NA,NA,34.0050377833753,38.3928571428571,NA
"THA","Thailand",64,20,34,64,31.7380352644836,45.0892857142857,"THA"
"TRI","Trinidad and Tobago",47,16,58,55,12.5944584382872,80.1339285714286,"TTO"
"TUR","Turkey",66,37,45,85,45.5919395465995,49.1071428571429,"TUR"
"USA","U.S.A.",40,91,62,46,25.6926952141058,68.0803571428571,"USA"
"UGA","Uganda",NA,NA,NA,NA,23.6775818639798,52.4553571428571,"UGA"
"UKR","Ukraine",NA,NA,NA,NA,86.3979848866499,14.2857142857143,"UKR"
"URU","Uruguay",61,36,38,100,26.1964735516373,53.3482142857143,"URY"
"VEN","Venezuela",81,12,73,76,15.6171284634761,100,NA
"VIE","Vietnam",70,20,40,30,57.1788413098237,35.4910714285714,NA
"ZAM","Zambia",NA,NA,NA,NA,30.2267002518892,42.1875,"ZMB"
"ZIM","Zimbabwe",NA,NA,NA,NA,15.3652392947103,27.6785714285714,"ZWE"
